Momentum k: 0.5 pi, 0.5 pi
              0            0.5           -nan           -nan
              1       0.475185    0.000337315     0.00070986
              2       0.453681    0.000485982      0.0010712
              3       0.434036    0.000585537     0.00134905
              4       0.415799    0.000685648     0.00164899
              5       0.399946    0.000778491     0.00194649
              6       0.385514    0.000806957      0.0020932
              7       0.372627     0.00087755     0.00235504
              8       0.360119    0.000892811     0.00247921
              9       0.348608    0.000961732     0.00275877
             10       0.338196    0.000981674     0.00290268
             11       0.327821     0.00102823     0.00313655
             12       0.318499     0.00105495     0.00331226
             13        0.30967     0.00110331     0.00356285
             14       0.301106     0.00112737      0.0037441
             15       0.293403     0.00116923     0.00398507
             16       0.285348     0.00117791     0.00412797
             17       0.278172     0.00123076     0.00442445
             18       0.271719     0.00122379     0.00450387
             19       0.265478     0.00125957     0.00474453
             20       0.259126     0.00127223     0.00490969
             21       0.253147     0.00131006     0.00517509
             22       0.247354     0.00130972     0.00529491
             23       0.242251     0.00128145     0.00528978
             24       0.237493     0.00132285     0.00557006
             25       0.232693     0.00133078     0.00571902
             26        0.22787     0.00131435     0.00576798
             27       0.224735     0.00136665     0.00608115
             28       0.221196     0.00137593     0.00622044
             29       0.217083     0.00137767     0.00634628
             30       0.214082     0.00139263     0.00650515
             31       0.211053     0.00142464     0.00675018
             32        0.20724     0.00143465     0.00692266
             33       0.204671     0.00140217     0.00685082
             34       0.201846     0.00139957     0.00693387
             35       0.199742     0.00141446     0.00708142
             36       0.197417     0.00143105     0.00724885
             37       0.194985     0.00142959     0.00733182
             38       0.192982     0.00143756     0.00744921
             39       0.190972     0.00142626     0.00746841
             40       0.189805     0.00143749     0.00757349
             41       0.188579      0.0014764     0.00782906
             42       0.187438     0.00155578     0.00830028
             43       0.186178     0.00150527      0.0080851
             44       0.185834     0.00150808      0.0081152
             45       0.184997     0.00149119     0.00806059
             46       0.184202     0.00151455     0.00822226
             47       0.183566     0.00153145     0.00834279
             48       0.183408     0.00162689     0.00887038
             49       0.183091     0.00156034     0.00852221
             50       0.182648     0.00155605      0.0085194
             51       0.182623     0.00159335     0.00872483
             52       0.182436     0.00155122     0.00850279
             53       0.183852      0.0016048     0.00872876
             54       0.184061     0.00154536     0.00839593
             55        0.18467     0.00157396     0.00852311
             56       0.185836     0.00161312     0.00868037
             57       0.187099     0.00156219     0.00834952
             58       0.188012      0.0015664      0.0083314
             59       0.189258     0.00154419     0.00815917
             60       0.190565     0.00153211     0.00803983
             61       0.192702     0.00147032     0.00763005
             62       0.195148     0.00143916     0.00737474
             63       0.197141     0.00143938     0.00730127
             64       0.199133     0.00141005     0.00708096
             65       0.201063     0.00139597     0.00694294
             66        0.20337     0.00137223     0.00674747
             67       0.206822     0.00147336     0.00712379
             68        0.20903     0.00141372     0.00676325
             69       0.212199     0.00148789     0.00701177
             70       0.216493     0.00146466     0.00676537
             71       0.219719     0.00149362     0.00679787
             72       0.222672     0.00134708     0.00604961
             73       0.225682     0.00132449     0.00586883
             74        0.22956     0.00127426     0.00555089
             75       0.234083      0.0014291     0.00610509
             76       0.238064      0.0012831     0.00538971
             77       0.242745     0.00140954     0.00580668
             78       0.248432     0.00146319     0.00588972
             79       0.253538     0.00130788     0.00515853
             80       0.259286     0.00124933     0.00481834
             81       0.265234     0.00123513     0.00465677
             82       0.271056     0.00118331     0.00436555
             83       0.278032      0.0011826     0.00425346
             84       0.284491     0.00112868     0.00396737
             85       0.292044     0.00112227      0.0038428
             86       0.299537     0.00111769     0.00373139
             87       0.307552     0.00108228       0.003519
             88       0.316413     0.00107376     0.00339355
             89       0.325885     0.00102143     0.00313432
             90       0.336523     0.00100264     0.00297941
             91       0.347929    0.000947596     0.00272354
             92       0.359272      0.0009096     0.00253179
             93       0.371714    0.000844031     0.00227065
             94        0.38567     0.00081172      0.0021047
             95       0.400204    0.000753741     0.00188339
             96       0.415896    0.000697739     0.00167767
             97       0.434109     0.00065185     0.00150158
             98       0.453678    0.000522226     0.00115109
             99        0.47581    0.000361953    0.000760709
      0.0827853      0.0350791       0.423736
