Statistic results: 
  average rate of update being accepted: 0.95873
  ln(1/theta) = -14.5   ln(chi^2) = 15.641

         \omega           A(\omega)

            0.1         0.019139385
            0.2        0.0016980452
            0.3         0.003191819
            0.4         0.067133902
            0.5           0.4896679
            0.6         0.025062203
            0.7          0.20127504
            0.8           0.1997982
            0.9          0.28751806
              1          0.02169524
            1.1        0.0066035186
            1.2         0.054729833
            1.3         0.047652883
            1.4         0.013678934
            1.5          0.38389003
            1.6          0.16912437
            1.7           0.1949693
            1.8         0.017497817
            1.9          0.07044219
              2         0.047900471
            2.1        0.0071334316
            2.2         0.017372728
            2.3         0.081949791
            2.4        0.0041357624
            2.5         0.023724194
            2.6         0.037889867
            2.7         0.028634166
            2.8        0.0013736377
            2.9           0.1383831
              3         0.018374998
            3.1         0.081085919
            3.2          0.31755703
            3.3         0.078293163
            3.4          0.11825196
            3.5         0.034408041
            3.6          0.19321614
            3.7          0.30577839
            3.8          0.13066928
            3.9          0.15124334
              4         0.062373761
            4.1          0.13072035
            4.2          0.28848499
            4.3         0.084445238
            4.4        0.0092943365
            4.5         0.018815659
            4.6        0.0072247171
            4.7         0.077067882
            4.8          0.10161367
            4.9          0.03320769
              5          0.17026614
