Statistic results: 
  average rate of update being accepted: 0.96767
  ln(1/theta) = -15   ln(chi^2) = 16.058

         \omega           A(\omega)

            0.1         0.015027306
            0.2         0.073339865
            0.3         0.041755605
            0.4         0.037813732
            0.5           0.2735409
            0.6          0.19706608
            0.7          0.35681922
            0.8        0.0032352387
            0.9          0.11534669
              1         0.049591407
            1.1          0.13421229
            1.2         0.089454542
            1.3         0.084147625
            1.4          0.15034107
            1.5         0.047109551
            1.6         0.017343042
            1.7         0.073676284
            1.8         0.011188975
            1.9          0.11019359
              2          0.22393078
            2.1        0.0087050523
            2.2          0.19485066
            2.3          0.25475663
            2.4          0.14214402
            2.5         0.029653647
            2.6         0.031747291
            2.7         0.016959572
            2.8          0.02871577
            2.9         0.017994436
              3         0.037412068
            3.1         0.087603294
            3.2          0.23140376
            3.3         0.025621976
            3.4          0.17686036
            3.5         0.013769848
            3.6        0.0090382139
            3.7         0.022373345
            3.8         0.095673434
            3.9          0.31917503
              4          0.14376446
            4.1          0.34006235
            4.2          0.08151364
            4.3         0.011720587
            4.4          0.07107792
            4.5          0.26958089
            4.6        0.0068009752
            4.7         0.006725081
            4.8          0.14361595
            4.9           0.1089593
              5         0.022044136
