             -7      22.567328     -1.2449875  2.4087613e-06   0.0004099148
             -7      22.566109     -1.2074916  1.3036078e-05   0.0047181548
             -7      18.319169     -1.1537877  1.4331056e-05   0.0015743367
             -7      16.708442     -1.2325043  6.1852337e-05    0.029211706
             -7      17.015659     -1.5295273  4.3711748e-05    0.002441965
             -7              4      18.319155     -1.1834436  1.3978162e-05   0.0037386614
             -7              4      18.390707    -0.74933233    0.015496029     0.12324893
             -7              4      18.319047     -1.1565315  1.7424163e-05   0.0022655541
             -7              3       17.84612    -0.96392165  2.4984257e-05  0.00063686248
             -7              3      17.846151    -0.96274385  2.1535563e-05  0.00067404803
             -7              3      17.846139    -0.96347628  2.7284528e-05   0.0006330829
              7              4      14.309308           -nan           -nan           -nan
              7              1      16.705639     -2.3218942  2.1306778e-07  0.00024565846
              7              1      16.705644     -2.3253156  1.0680087e-07  9.8589423e-05
              7              1      16.705639     -2.3216293  1.2606393e-07  0.00011928399
              7              4      14.309308           -nan           -nan           -nan
              7              4      14.309307           -nan  3.7234744e-08           -nan
              7              4      18.323643     -1.2054922  0.00051937889    0.011076261
              7              4      18.320283           -nan  3.5318479e-06           -nan
             -7              1      16.708592     -1.0497331  6.7446955e-05    0.041863354
             -7              2      17.015815     -1.5257739  4.6377089e-05   0.0017664876
             -7              2      17.015773     -1.5321821  4.3419938e-05   0.0022310168
             -7              4      18.319187     -1.1893137  1.3591779e-05   0.0022179488
